Province_StateID,Date,NewCases
25,2020-08-01,0
25,2020-08-02,0
25,2020-08-03,0
25,2020-08-04,0
25,2020-08-05,0
25,2020-08-06,0
25,2020-08-07,0
25,2020-08-08,0
25,2020-08-09,0
25,2020-08-10,0
25,2020-08-11,0
25,2020-08-12,0
25,2020-08-13,0
25,2020-08-14,0
25,2020-08-15,0
25,2020-08-16,0
25,2020-08-17,0
25,2020-08-18,0
25,2020-08-19,3
25,2020-08-20,0
25,2020-08-21,0
25,2020-08-22,0
25,2020-08-23,0
25,2020-08-24,0
25,2020-08-25,0
25,2020-08-26,0
25,2020-08-27,0
25,2020-08-28,0
25,2020-08-29,0
25,2020-08-30,0
25,2020-08-31,0
25,2020-09-01,0
25,2020-09-02,0
25,2020-09-03,0
25,2020-09-04,0
25,2020-09-05,0
25,2020-09-06,0
25,2020-09-07,0
25,2020-09-08,0
25,2020-09-09,0
25,2020-09-10,0
25,2020-09-11,0
25,2020-09-12,0
25,2020-09-13,0
25,2020-09-14,0
25,2020-09-15,0
25,2020-09-16,0
25,2020-09-17,0
25,2020-09-18,0
25,2020-09-19,0
25,2020-09-20,0
25,2020-09-21,0
25,2020-09-22,0
25,2020-09-23,0
25,2020-09-24,0
25,2020-09-25,0
25,2020-09-26,0
25,2020-09-27,0
25,2020-09-28,0
25,2020-09-29,0
25,2020-09-30,0
25,2020-10-01,0
25,2020-10-02,0
25,2020-10-03,0
25,2020-10-04,0
25,2020-10-05,0
25,2020-10-06,0
25,2020-10-07,0
25,2020-10-08,0
25,2020-10-09,0
25,2020-10-10,0
25,2020-10-11,0
25,2020-10-12,0
25,2020-10-13,0
25,2020-10-14,0
25,2020-10-15,0
25,2020-10-16,0
25,2020-10-17,0
25,2020-10-18,0
25,2020-10-19,0
25,2020-10-20,0
25,2020-10-21,0
25,2020-10-22,0
25,2020-10-23,0
25,2020-10-24,0
25,2020-10-25,0
25,2020-10-26,0
25,2020-10-27,0
25,2020-10-28,0
25,2020-10-29,0
25,2020-10-30,0
25,2020-10-31,0
25,2020-11-01,0
25,2020-11-02,0
25,2020-11-03,0
25,2020-11-04,0
25,2020-11-05,0
25,2020-11-06,0
25,2020-11-07,0
25,2020-11-08,0
25,2020-11-09,0
25,2020-11-10,0
25,2020-11-11,0
25,2020-11-12,0
25,2020-11-13,0
25,2020-11-14,0
25,2020-11-15,0
25,2020-11-16,0
25,2020-11-17,0
25,2020-11-18,0
25,2020-11-19,0
25,2020-11-20,0
25,2020-11-21,0
25,2020-11-22,0
25,2020-11-23,0
25,2020-11-24,0
25,2020-11-25,0
25,2020-11-26,0
25,2020-11-27,0
25,2020-11-28,0
25,2020-11-29,0
25,2020-11-30,0
25,2020-12-01,0
25,2020-12-02,0
25,2020-12-03,0
25,2020-12-04,0
25,2020-12-05,0
25,2020-12-06,0
25,2020-12-07,0
25,2020-12-08,0
25,2020-12-09,0
25,2020-12-10,0
25,2020-12-11,0
25,2020-12-12,0
25,2020-12-13,0
25,2020-12-14,0
25,2020-12-15,0
25,2020-12-16,0
25,2020-12-17,0
25,2020-12-18,0
25,2020-12-19,0
25,2020-12-20,0
25,2020-12-21,0
25,2020-12-22,0
25,2020-12-23,0
25,2020-12-24,0
25,2020-12-25,0
25,2020-12-26,0
25,2020-12-27,0
25,2020-12-28,0
25,2020-12-29,0
25,2020-12-30,0
25,2020-12-31,0
25,2021-01-01,0
25,2021-01-02,0
25,2021-01-03,0
25,2021-01-04,0
25,2021-01-05,0
25,2021-01-06,0
25,2021-01-07,0
25,2021-01-08,0
25,2021-01-09,0
25,2021-01-10,0
25,2021-01-11,0
25,2021-01-12,0
25,2021-01-13,0
25,2021-01-14,0
25,2021-01-15,0
25,2021-01-16,0
25,2021-01-17,0
25,2021-01-18,0
25,2021-01-19,0
25,2021-01-20,0
25,2021-01-21,0
25,2021-01-22,0
25,2021-01-23,0
25,2021-01-24,0
25,2021-01-25,0
25,2021-01-26,0
25,2021-01-27,0
25,2021-01-28,0
25,2021-01-29,0
25,2021-01-30,0
25,2021-01-31,0
25,2021-02-01,0
25,2021-02-02,0
25,2021-02-03,0
25,2021-02-04,0
25,2021-02-05,0
25,2021-02-06,0
25,2021-02-07,0
25,2021-02-08,0
25,2021-02-09,0
25,2021-02-10,0
25,2021-02-11,0
25,2021-02-12,0
25,2021-02-13,0
25,2021-02-14,0
25,2021-02-15,0
25,2021-02-16,0
25,2021-02-17,0
25,2021-02-18,0
25,2021-02-19,0
25,2021-02-20,0
25,2021-02-21,0
25,2021-02-22,0
25,2021-02-23,0
25,2021-02-24,0
25,2021-02-25,0
25,2021-02-26,0
25,2021-02-27,0
25,2021-02-28,0
25,2021-03-01,0
25,2021-03-02,0
25,2021-03-03,0
25,2021-03-04,0
25,2021-03-05,0
25,2021-03-06,0
25,2021-03-07,0
25,2021-03-08,0
25,2021-03-09,0
25,2021-03-10,0
25,2021-03-11,0
25,2021-03-12,0
25,2021-03-13,0
25,2021-03-14,0
25,2021-03-15,0
25,2021-03-16,0
25,2021-03-17,0
25,2021-03-18,0
25,2021-03-19,0
25,2021-03-20,1
25,2021-03-21,0
25,2021-03-22,0
25,2021-03-23,0
25,2021-03-24,0
25,2021-03-25,0
25,2021-03-26,1
25,2021-03-27,0
25,2021-03-28,0
25,2021-03-29,0
25,2021-03-30,0
25,2021-03-31,0
25,2021-04-01,0
25,2021-04-02,0
25,2021-04-03,0
25,2021-04-04,0
25,2021-04-05,0
25,2021-04-06,0
25,2021-04-07,0
25,2021-04-08,0
25,2021-04-09,0
25,2021-04-10,0
25,2021-04-11,0
25,2021-04-12,0
25,2021-04-13,0
25,2021-04-14,0
25,2021-04-15,0
25,2021-04-16,0
25,2021-04-17,0
25,2021-04-18,0
25,2021-04-19,0
25,2021-04-20,0
25,2021-04-21,0
25,2021-04-22,0
26,2020-01-22,0
26,2020-01-23,1
26,2020-01-24,2
26,2020-01-25,1
26,2020-01-26,0
26,2020-01-27,2
26,2020-01-28,2
26,2020-01-29,1
26,2020-01-30,5
26,2020-01-31,0
26,2020-02-01,3
26,2020-02-02,6
26,2020-02-03,8
26,2020-02-04,11
26,2020-02-05,12
26,2020-02-06,5
26,2020-02-07,6
26,2020-02-08,4
26,2020-02-09,9
26,2020-02-10,2
26,2020-02-11,1
26,2020-02-12,2
26,2020-02-13,1
26,2020-02-14,2
26,2020-02-15,2
26,2020-02-16,1
26,2020-02-17,0
26,2020-02-18,0
26,2020-02-19,1
26,2020-02-20,1
26,2020-02-21,0
26,2020-02-22,0
26,2020-02-23,0
26,2020-02-24,2
26,2020-02-25,0
26,2020-02-26,0
26,2020-02-27,0
26,2020-02-28,0
26,2020-02-29,0
26,2020-03-01,0
26,2020-03-02,0
26,2020-03-03,0
26,2020-03-04,0
26,2020-03-05,0
26,2020-03-06,0
26,2020-03-07,0
26,2020-03-08,0
26,2020-03-09,0
26,2020-03-10,0
26,2020-03-11,0
26,2020-03-12,0
26,2020-03-13,0
26,2020-03-14,0
26,2020-03-15,0
26,2020-03-16,0
26,2020-03-17,0
26,2020-03-18,0
26,2020-03-19,0
26,2020-03-20,0
26,2020-03-21,0
26,2020-03-22,0
26,2020-03-23,0
26,2020-03-24,0
26,2020-03-25,1
26,2020-03-26,1
26,2020-03-27,0
26,2020-03-28,2
26,2020-03-29,1
26,2020-03-30,0
26,2020-03-31,0
26,2020-04-01,0
26,2020-04-02,0
26,2020-04-03,0
26,2020-04-04,0
26,2020-04-05,0
26,2020-04-06,0
26,2020-04-07,0
26,2020-04-08,0
26,2020-04-09,0
26,2020-04-10,0
26,2020-04-11,0
26,2020-04-12,1
26,2020-04-13,1
26,2020-04-14,0
26,2020-04-15,2
26,2020-04-16,0
26,2020-04-17,0
26,2020-04-18,0
26,2020-04-19,2
26,2020-04-20,0
26,2020-04-21,2
26,2020-04-22,0
26,2020-04-23,2
26,2020-04-24,1
26,2020-04-25,0
26,2020-04-26,1
26,2020-04-27,0
26,2020-04-28,0
26,2020-04-29,1
26,2020-04-30,0
26,2020-05-01,1
26,2020-05-02,0
26,2020-05-03,0
26,2020-05-04,0
26,2020-05-05,0
26,2020-05-06,0
26,2020-05-07,1
26,2020-05-08,0
26,2020-05-09,11
26,2020-05-10,3
26,2020-05-11,0
26,2020-05-12,6
26,2020-05-13,1
26,2020-05-14,4
26,2020-05-15,2
26,2020-05-16,4
26,2020-05-17,2
26,2020-05-18,5
26,2020-05-19,0
26,2020-05-20,0
26,2020-05-21,0
26,2020-05-22,3
26,2020-05-23,1
26,2020-05-24,0
26,2020-05-25,0
26,2020-05-26,0
26,2020-05-27,0
26,2020-05-28,0
26,2020-05-29,0
26,2020-05-30,0
26,2020-05-31,0
26,2020-06-01,0
26,2020-06-02,0
26,2020-06-03,0
26,2020-06-04,0
26,2020-06-05,0
26,2020-06-06,0
26,2020-06-07,0
26,2020-06-08,0
26,2020-06-09,0
26,2020-06-10,0
26,2020-06-11,0
26,2020-06-12,0
26,2020-06-13,0
26,2020-06-14,0
26,2020-06-15,0
26,2020-06-16,0
26,2020-06-17,0
26,2020-06-18,0
26,2020-06-19,0
26,2020-06-20,0
26,2020-06-21,0
26,2020-06-22,0
26,2020-06-23,0
26,2020-06-24,0
26,2020-06-25,0
26,2020-06-26,0
26,2020-06-27,0
26,2020-06-28,0
26,2020-06-29,0
26,2020-06-30,0
26,2020-07-01,0
26,2020-07-02,0
26,2020-07-03,0
26,2020-07-04,0
26,2020-07-05,0
26,2020-07-06,0
26,2020-07-07,0
26,2020-07-08,0
26,2020-07-09,0
26,2020-07-10,0
26,2020-07-11,0
26,2020-07-12,0
26,2020-07-13,0
26,2020-07-14,0
26,2020-07-15,0
26,2020-07-16,0
26,2020-07-17,0
26,2020-07-18,0
26,2020-07-19,0
26,2020-07-20,0
26,2020-07-21,0
26,2020-07-22,0
26,2020-07-23,0
26,2020-07-24,0
26,2020-07-25,0
26,2020-07-26,2
26,2020-07-27,0
26,2020-07-28,0
26,2020-07-29,0
26,2020-07-30,0
26,2020-07-31,0
26,2020-08-01,0
26,2020-08-02,0
26,2020-08-03,0
26,2020-08-04,0
26,2020-08-05,0
26,2020-08-06,0
26,2020-08-07,0
26,2020-08-08,0
26,2020-08-09,0
26,2020-08-10,0
26,2020-08-11,0
26,2020-08-12,0
26,2020-08-13,0
26,2020-08-14,0
26,2020-08-15,0
26,2020-08-16,0
26,2020-08-17,0
26,2020-08-18,0
26,2020-08-19,0
26,2020-08-20,0
26,2020-08-21,0
26,2020-08-22,0
26,2020-08-23,0
26,2020-08-24,0
26,2020-08-25,0
26,2020-08-26,0
26,2020-08-27,0
26,2020-08-28,0
26,2020-08-29,0
26,2020-08-30,0
26,2020-08-31,0
26,2020-09-01,0
26,2020-09-02,0
26,2020-09-03,0
26,2020-09-04,0
26,2020-09-05,0
26,2020-09-06,0
26,2020-09-07,0
26,2020-09-08,0
26,2020-09-09,0
26,2020-09-10,0
26,2020-09-11,0
26,2020-09-12,0
26,2020-09-13,0
26,2020-09-14,0
26,2020-09-15,0
26,2020-09-16,0
26,2020-09-17,0
26,2020-09-18,0
26,2020-09-19,0
26,2020-09-20,0
26,2020-09-21,0
26,2020-09-22,0
26,2020-09-23,0
26,2020-09-24,0
26,2020-09-25,0
26,2020-09-26,0
26,2020-09-27,0
26,2020-09-28,0
26,2020-09-29,0
26,2020-09-30,0
26,2020-10-01,0
26,2020-10-02,0
26,2020-10-03,0
26,2020-10-04,0
26,2020-10-05,0
26,2020-10-06,0
26,2020-10-07,0
26,2020-10-08,0
26,2020-10-09,0
26,2020-10-10,0
26,2020-10-11,0
26,2020-10-12,0
26,2020-10-13,0
26,2020-10-14,0
26,2020-10-15,0
26,2020-10-16,0
26,2020-10-17,0
26,2020-10-18,0
26,2020-10-19,0
26,2020-10-20,0
26,2020-10-21,0
26,2020-10-22,0
26,2020-10-23,0
26,2020-10-24,0
26,2020-10-25,0
26,2020-10-26,0
26,2020-10-27,0
26,2020-10-28,0
26,2020-10-29,0
26,2020-10-30,0
26,2020-10-31,0
26,2020-11-01,0
26,2020-11-02,0
26,2020-11-03,0
26,2020-11-04,0
26,2020-11-05,0
26,2020-11-06,0
26,2020-11-07,0
26,2020-11-08,0
26,2020-11-09,0
26,2020-11-10,0
26,2020-11-11,0
26,2020-11-12,0
26,2020-11-13,0
26,2020-11-14,0
26,2020-11-15,0
26,2020-11-16,0
26,2020-11-17,0
26,2020-11-18,0
26,2020-11-19,0
26,2020-11-20,0
26,2020-11-21,0
26,2020-11-22,0
26,2020-11-23,0
26,2020-11-24,0
26,2020-11-25,0
26,2020-11-26,0
26,2020-11-27,0
26,2020-11-28,0
26,2020-11-29,0
26,2020-11-30,0
26,2020-12-01,0
26,2020-12-02,0
26,2020-12-03,0
26,2020-12-04,0
26,2020-12-05,0
26,2020-12-06,0
26,2020-12-07,0
26,2020-12-08,0
26,2020-12-09,0
26,2020-12-10,0
26,2020-12-11,0
26,2020-12-12,0
26,2020-12-13,0
26,2020-12-14,0
26,2020-12-15,0
26,2020-12-16,0
26,2020-12-17,0
26,2020-12-18,0
26,2020-12-19,0
26,2020-12-20,0
26,2020-12-21,0
26,2020-12-22,0
26,2020-12-23,0
26,2020-12-24,0
26,2020-12-25,0
26,2020-12-26,0
26,2020-12-27,0
26,2020-12-28,0
26,2020-12-29,0
26,2020-12-30,0
26,2020-12-31,0
26,2021-01-01,0
26,2021-01-02,0
26,2021-01-03,0
26,2021-01-04,0
26,2021-01-05,0
26,2021-01-06,0
26,2021-01-07,0
26,2021-01-08,0
26,2021-01-09,0
26,2021-01-10,0
26,2021-01-11,0
26,2021-01-12,0
26,2021-01-13,0
26,2021-01-14,0
26,2021-01-15,0
26,2021-01-16,10
26,2021-01-17,30
26,2021-01-18,43
26,2021-01-19,46
26,2021-01-20,33
26,2021-01-21,23
26,2021-01-22,9
26,2021-01-23,12
26,2021-01-24,67
26,2021-01-25,7
26,2021-01-26,14
26,2021-01-27,9
26,2021-01-28,13
26,2021-01-29,5
26,2021-01-30,63
26,2021-01-31,10
26,2021-02-01,4
26,2021-02-02,8
26,2021-02-03,8
26,2021-02-04,0
26,2021-02-05,1
26,2021-02-06,1
26,2021-02-07,0
26,2021-02-08,0
26,2021-02-09,0
26,2021-02-10,0
26,2021-02-11,0
26,2021-02-12,0
26,2021-02-13,0
26,2021-02-14,0
26,2021-02-15,0
26,2021-02-16,0
26,2021-02-17,0
26,2021-02-18,0
26,2021-02-19,0
26,2021-02-20,0
26,2021-02-21,0
26,2021-02-22,0
26,2021-02-23,0
26,2021-02-24,0
26,2021-02-25,0
26,2021-02-26,0
26,2021-02-27,0
26,2021-02-28,0
26,2021-03-01,0
26,2021-03-02,0
26,2021-03-03,0
26,2021-03-04,0
26,2021-03-05,0
26,2021-03-06,0
26,2021-03-07,0
26,2021-03-08,0
26,2021-03-09,0
26,2021-03-10,0
26,2021-03-11,0
26,2021-03-12,0
26,2021-03-13,0
26,2021-03-14,0
26,2021-03-15,0
26,2021-03-16,0
26,2021-03-17,0
26,2021-03-18,0
26,2021-03-19,0
26,2021-03-20,0
26,2021-03-21,0
26,2021-03-22,0
26,2021-03-23,0
26,2021-03-24,0
26,2021-03-25,0
26,2021-03-26,0
26,2021-03-27,0
26,2021-03-28,0
26,2021-03-29,0
26,2021-03-30,0
26,2021-03-31,0
26,2021-04-01,0
26,2021-04-02,0
26,2021-04-03,0
26,2021-04-04,0
26,2021-04-05,0
26,2021-04-06,0
26,2021-04-07,0
26,2021-04-08,0
26,2021-04-09,0
26,2021-04-10,0
26,2021-04-11,0
26,2021-04-12,0
26,2021-04-13,0
26,2021-04-14,0
26,2021-04-15,0
26,2021-04-16,0
26,2021-04-17,0
26,2021-04-18,0
26,2021-04-19,0
26,2021-04-20,0
26,2021-04-21,0
26,2021-04-22,0
27,2020-01-22,2
27,2020-01-23,1
27,2020-01-24,1
27,2020-01-25,13
27,2020-01-26,4
27,2020-01-27,6
27,2020-01-28,7
27,2020-01-29,5
27,2020-01-30,2
27,2020-01-31,7
27,2020-02-01,16
27,2020-02-02,6
27,2020-02-03,4
27,2020-02-04,7
27,2020-02-05,8
27,2020-02-06,5
27,2020-02-07,5
27,2020-02-08,6
27,2020-02-09,2
27,2020-02-10,1
27,2020-02-11,3
27,2020-02-12,5
27,2020-02-13,1
27,2020-02-14,2
27,2020-02-15,0
27,2020-02-16,2
27,2020-02-17,0
27,2020-02-18,0
27,2020-02-19,0
27,2020-02-20,0
27,2020-02-21,0
27,2020-02-22,0
27,2020-02-23,0
27,2020-02-24,0
27,2020-02-25,0
27,2020-02-26,0
27,2020-02-27,0
27,2020-02-28,0
27,2020-02-29,0
27,2020-03-01,1
27,2020-03-02,0
27,2020-03-03,3
27,2020-03-04,0
27,2020-03-05,0
27,2020-03-06,0
27,2020-03-07,0
27,2020-03-08,0
27,2020-03-09,0
27,2020-03-10,0
27,2020-03-11,0
27,2020-03-12,0
27,2020-03-13,0
27,2020-03-14,0
27,2020-03-15,0
27,2020-03-16,0
27,2020-03-17,0
27,2020-03-18,0
27,2020-03-19,0
27,2020-03-20,1
27,2020-03-21,0
27,2020-03-22,1
27,2020-03-23,0
27,2020-03-24,0
27,2020-03-25,0
27,2020-03-26,1
27,2020-03-27,0
27,2020-03-28,4
27,2020-03-29,2
27,2020-03-30,2
27,2020-03-31,3
27,2020-04-01,1
27,2020-04-02,1
27,2020-04-03,0
27,2020-04-04,0
27,2020-04-05,1
27,2020-04-06,0
27,2020-04-07,2
27,2020-04-08,0
27,2020-04-09,0
27,2020-04-10,0
27,2020-04-11,1
27,2020-04-12,0
27,2020-04-13,0
27,2020-04-14,0
27,2020-04-15,0
27,2020-04-16,0
27,2020-04-17,1
27,2020-04-18,0
27,2020-04-19,0
27,2020-04-20,0
27,2020-04-21,0
27,2020-04-22,0
27,2020-04-23,0
27,2020-04-24,0
27,2020-04-25,0
27,2020-04-26,0
27,2020-04-27,0
27,2020-04-28,0
27,2020-04-29,0
27,2020-04-30,0
27,2020-05-01,0
27,2020-05-02,0
27,2020-05-03,0
27,2020-05-04,0
27,2020-05-05,0
27,2020-05-06,0
27,2020-05-07,0
27,2020-05-08,0
27,2020-05-09,0
27,2020-05-10,1
27,2020-05-11,0
27,2020-05-12,0
27,2020-05-13,2
27,2020-05-14,0
27,2020-05-15,0
27,2020-05-16,0
27,2020-05-17,0
27,2020-05-18,0
27,2020-05-19,0
27,2020-05-20,0
27,2020-05-21,0
27,2020-05-22,0
27,2020-05-23,0
27,2020-05-24,0
27,2020-05-25,0
27,2020-05-26,0
27,2020-05-27,0
27,2020-05-28,0
27,2020-05-29,0
27,2020-05-30,0
27,2020-05-31,0
27,2020-06-01,0
27,2020-06-02,0
27,2020-06-03,0
27,2020-06-04,0
27,2020-06-05,0
27,2020-06-06,0
27,2020-06-07,0
27,2020-06-08,0
27,2020-06-09,0
27,2020-06-10,0
27,2020-06-11,0
27,2020-06-12,0
27,2020-06-13,2
27,2020-06-14,0
27,2020-06-15,1
27,2020-06-16,0
27,2020-06-17,0
27,2020-06-18,1
27,2020-06-19,0
27,2020-06-20,0
27,2020-06-21,1
27,2020-06-22,0
27,2020-06-23,0
27,2020-06-24,0
27,2020-06-25,0
27,2020-06-26,0
27,2020-06-27,0
27,2020-06-28,1
27,2020-06-29,0
27,2020-06-30,0
27,2020-07-01,0
27,2020-07-02,1
27,2020-07-03,0
27,2020-07-04,0
27,2020-07-05,1
27,2020-07-06,0
27,2020-07-07,2
27,2020-07-08,3
27,2020-07-09,0
27,2020-07-10,0
27,2020-07-11,2
27,2020-07-12,0
27,2020-07-13,0
27,2020-07-14,0
27,2020-07-15,0
27,2020-07-16,0
27,2020-07-17,0
27,2020-07-18,0
27,2020-07-19,0
27,2020-07-20,0
27,2020-07-21,0
27,2020-07-22,1
27,2020-07-23,2
27,2020-07-24,9
27,2020-07-25,13
27,2020-07-26,14
27,2020-07-27,6
27,2020-07-28,8
27,2020-07-29,5
27,2020-07-30,11
27,2020-07-31,8
27,2020-08-01,3
27,2020-08-02,9
27,2020-08-03,2
27,2020-08-04,0
27,2020-08-05,3
27,2020-08-06,1
27,2020-08-07,0
27,2020-08-08,0
27,2020-08-09,2
27,2020-08-10,0
27,2020-08-11,0
27,2020-08-12,0
27,2020-08-13,0
27,2020-08-14,0
27,2020-08-15,0
27,2020-08-16,0
27,2020-08-17,0
27,2020-08-18,0
27,2020-08-19,0
27,2020-08-20,0
27,2020-08-21,0
27,2020-08-22,0
27,2020-08-23,0
27,2020-08-24,1
27,2020-08-25,0
27,2020-08-26,0
27,2020-08-27,0
27,2020-08-28,0
27,2020-08-29,0
27,2020-08-30,0
27,2020-08-31,0
27,2020-09-01,0
27,2020-09-02,1
27,2020-09-03,0
27,2020-09-04,0
27,2020-09-05,0
27,2020-09-06,0
27,2020-09-07,0
27,2020-09-08,0
27,2020-09-09,0
27,2020-09-10,1
27,2020-09-11,0
27,2020-09-12,0
27,2020-09-13,0
27,2020-09-14,0
27,2020-09-15,0
27,2020-09-16,0
27,2020-09-17,0
27,2020-09-18,1
27,2020-09-19,0
27,2020-09-20,0
27,2020-09-21,0
27,2020-09-22,0
27,2020-09-23,2
27,2020-09-24,0
27,2020-09-25,0
27,2020-09-26,4
27,2020-09-27,0
27,2020-09-28,0
27,2020-09-29,0
27,2020-09-30,0
27,2020-10-01,0
27,2020-10-02,0
27,2020-10-03,0
27,2020-10-04,0
27,2020-10-05,0
27,2020-10-06,0
27,2020-10-07,0
27,2020-10-08,2
27,2020-10-09,2
27,2020-10-10,1
27,2020-10-11,4
27,2020-10-12,0
27,2020-10-13,0
27,2020-10-14,0
27,2020-10-15,0
27,2020-10-16,0
27,2020-10-17,0
27,2020-10-18,0
27,2020-10-19,0
27,2020-10-20,0
27,2020-10-21,0
27,2020-10-22,0
27,2020-10-23,0
27,2020-10-24,3
27,2020-10-25,0
27,2020-10-26,0
27,2020-10-27,0
27,2020-10-28,0
27,2020-10-29,0
27,2020-10-30,0
27,2020-10-31,0
27,2020-11-01,0
27,2020-11-02,0
27,2020-11-03,0
27,2020-11-04,0
27,2020-11-05,1
27,2020-11-06,0
27,2020-11-07,0
27,2020-11-08,1
27,2020-11-09,0
27,2020-11-10,1
27,2020-11-11,0
27,2020-11-12,0
27,2020-11-13,2
27,2020-11-14,0
27,2020-11-15,0
27,2020-11-16,0
27,2020-11-17,1
27,2020-11-18,0
27,2020-11-19,0
27,2020-11-20,0
27,2020-11-21,0
27,2020-11-22,0
27,2020-11-23,0
27,2020-11-24,0
27,2020-11-25,0
27,2020-11-26,0
27,2020-11-27,0
27,2020-11-28,0
27,2020-11-29,0
27,2020-11-30,0
27,2020-12-01,0
27,2020-12-02,0
27,2020-12-03,0
27,2020-12-04,0
27,2020-12-05,0
27,2020-12-06,0
27,2020-12-07,0
27,2020-12-08,0
27,2020-12-09,0
27,2020-12-10,0
27,2020-12-11,0
27,2020-12-12,0
27,2020-12-13,0
27,2020-12-14,0
27,2020-12-15,0
27,2020-12-16,0
27,2020-12-17,0
27,2020-12-18,1
27,2020-12-19,1
27,2020-12-20,1
27,2020-12-21,2
27,2020-12-22,1
27,2020-12-23,7
27,2020-12-24,8
27,2020-12-25,6
27,2020-12-26,7
27,2020-12-27,6
27,2020-12-28,8
27,2020-12-29,5
27,2020-12-30,5
27,2020-12-31,4
27,2021-01-01,8
27,2021-01-02,3
27,2021-01-03,7
27,2021-01-04,3
27,2021-01-05,1
27,2021-01-06,1
27,2021-01-07,3
27,2021-01-08,7
27,2021-01-09,3
27,2021-01-10,6
27,2021-01-11,3
27,2021-01-12,0
27,2021-01-13,0
27,2021-01-14,0
27,2021-01-15,0
27,2021-01-16,0
27,2021-01-17,0
27,2021-01-18,0
27,2021-01-19,0
27,2021-01-20,0
27,2021-01-21,0
27,2021-01-22,0
27,2021-01-23,1
27,2021-01-24,0
27,2021-01-25,0
27,2021-01-26,0
27,2021-01-27,0
27,2021-01-28,0
27,2021-01-29,0
27,2021-01-30,3
27,2021-01-31,0
27,2021-02-01,2
27,2021-02-02,0
27,2021-02-03,0
27,2021-02-04,0
27,2021-02-05,0
27,2021-02-06,0
27,2021-02-07,0
27,2021-02-08,0
27,2021-02-09,0
27,2021-02-10,0
27,2021-02-11,1
27,2021-02-12,1
27,2021-02-13,0
27,2021-02-14,0
27,2021-02-15,0
27,2021-02-16,0
27,2021-02-17,0
27,2021-02-18,0
27,2021-02-19,1
27,2021-02-20,1
27,2021-02-21,0
27,2021-02-22,0
27,2021-02-23,0
27,2021-02-24,0
27,2021-02-25,0
27,2021-02-26,0
27,2021-02-27,0
27,2021-02-28,0
27,2021-03-01,0
27,2021-03-02,0
27,2021-03-03,0
27,2021-03-04,0
27,2021-03-05,0
27,2021-03-06,0
27,2021-03-07,0
27,2021-03-08,0
27,2021-03-09,0
27,2021-03-10,0
27,2021-03-11,0
27,2021-03-12,0
27,2021-03-13,0
27,2021-03-14,0
27,2021-03-15,0
27,2021-03-16,0
27,2021-03-17,0
27,2021-03-18,0
27,2021-03-19,0
27,2021-03-20,0
27,2021-03-21,1
27,2021-03-22,0
27,2021-03-23,0
27,2021-03-24,0
27,2021-03-25,0
27,2021-03-26,0
27,2021-03-27,0
27,2021-03-28,0
27,2021-03-29,0
27,2021-03-30,0
27,2021-03-31,0
27,2021-04-01,0
27,2021-04-02,0
27,2021-04-03,0
27,2021-04-04,0
27,2021-04-05,0
27,2021-04-06,0
27,2021-04-07,0
27,2021-04-08,0
27,2021-04-09,1
27,2021-04-10,0
27,2021-04-11,0
27,2021-04-12,0
27,2021-04-13,0
27,2021-04-14,0
27,2021-04-15,0
27,2021-04-16,0
27,2021-04-17,0
27,2021-04-18,0
27,2021-04-19,0
27,2021-04-20,0
27,2021-04-21,0
27,2021-04-22,0
28,2020-01-22,1
28,2020-01-23,1
28,2020-01-24,0
28,2020-01-25,0
28,2020-01-26,3
28,2020-01-27,1
28,2020-01-28,1
28,2020-01-29,0
28,2020-01-30,0
28,2020-01-31,0
28,2020-02-01,0
28,2020-02-02,1
28,2020-02-03,0
28,2020-02-04,2
28,2020-02-05,0
28,2020-02-06,0
28,2020-02-07,0
28,2020-02-08,0
28,2020-02-09,0
28,2020-02-10,0
28,2020-02-11,0
28,2020-02-12,0
28,2020-02-13,0
28,2020-02-14,0
28,2020-02-15,0
28,2020-02-16,0
28,2020-02-17,0
28,2020-02-18,0
28,2020-02-19,0
28,2020-02-20,0
28,2020-02-21,0
28,2020-02-22,0
28,2020-02-23,0
28,2020-02-24,0
28,2020-02-25,0
28,2020-02-26,0
28,2020-02-27,0
28,2020-02-28,0
28,2020-02-29,0
28,2020-03-01,0
28,2020-03-02,0
28,2020-03-03,0
28,2020-03-04,0
28,2020-03-05,0
28,2020-03-06,0
28,2020-03-07,0
28,2020-03-08,0
28,2020-03-09,0
28,2020-03-10,0
28,2020-03-11,0
28,2020-03-12,0
28,2020-03-13,0
28,2020-03-14,0
28,2020-03-15,0
28,2020-03-16,1
28,2020-03-17,1
28,2020-03-18,3
28,2020-03-19,2
28,2020-03-20,0
28,2020-03-21,1
28,2020-03-22,6
28,2020-03-23,0
28,2020-03-24,1
28,2020-03-25,5
28,2020-03-26,1
28,2020-03-27,2
28,2020-03-28,4
28,2020-03-29,0
28,2020-03-30,1
28,2020-03-31,3
28,2020-04-01,0
28,2020-04-02,0
28,2020-04-03,2
28,2020-04-04,0
28,2020-04-05,1
28,2020-04-06,0
28,2020-04-07,0
28,2020-04-08,1
28,2020-04-09,0
28,2020-04-10,0
28,2020-04-11,0
28,2020-04-12,0
28,2020-04-13,0
28,2020-04-14,0
28,2020-04-15,0
28,2020-04-16,0
28,2020-04-17,0
28,2020-04-18,0
28,2020-04-19,0
28,2020-04-20,0
28,2020-04-21,0
28,2020-04-22,0
